,TestEMA01,TestEMA03,TestEMA05,TestEMA07,PredEMA01,PredEMA03,PredEMA05,PredEMA07,TestEMA005,PredEMA005
133,10.180000473979112,10.439999716995636,10.439999912889297,10.430000330634426,8.325256,8.9744005,8.739405,9.102716,9.800000542804645,8.18862
134,10.260000902673596,10.609999959228183,10.720000675518868,10.830000197716064,8.327009,8.959782,8.724544,9.029785,9.859999937540287,8.194412
135,10.350000177364794,10.749999820124344,10.90999997205883,11.02000035057218,8.328306,8.9448185,8.713707,9.040076,9.92000052198474,8.200139
136,9.859999966791271,9.180000329372312,8.210000037802759,7.1599999385252575,8.329745,8.945084,8.718381,9.111227,9.700000163584962,8.204576
137,9.920000288312137,9.539999788945895,9.300000189013796,9.430000330634426,8.330266,8.840497,8.540846,8.756465,9.739999958360192,8.207433
138,9.980000006037953,9.830000277408232,9.899999663062363,10.180000164486474,8.3311,8.773517,8.479254,8.686953,9.770000845436824,8.211021
139,9.790000195478648,9.310000702714229,9.000000123269867,8.720000284112999,8.331619,8.768599,8.49401,8.807491,9.690000066177552,8.214646
140,9.630000545679774,8.979999705803372,8.600000254757724,8.35999953977017,8.331357,8.72416,8.429366,8.796631,9.619999979180095,8.217732
141,9.7000003169924,9.370000186271234,9.45000022188576,9.720000284113,8.331353,8.578507,8.335455,8.654568,9.649999676547916,8.219891
142,9.780000141891836,9.710000031178447,9.979999505276936,10.270000516720131,8.331504,8.515329,8.365759,8.715554,9.690000066177552,8.222034
143,9.749999981131404,9.649999908063554,9.739999978633223,9.729999732501796,8.330871,8.599916,8.484184,8.772771,9.68000056362455,8.224198
